lootid,score,rare
6531,1506,183
348,1507,184
3307,1508,185
846,1517,186
6497,1519,187
4786,1522,188
5501,1522,189
5951,1526,190
141,1535,191
6591,1535,192
3033,1541,193
991,1545,194
3978,1551,195
4419,1552,196
2111,1553,197
7153,1554,198
2202,1556,199
949,1557,200
3302,1564,201
6039,1570,202
4276,1572,203
5692,1572,204
2927,1574,205
529,1575,206
839,1578,207
513,1580,208
2720,1580,209
3463,1580,210
4471,1584,211
2316,1591,212
3007,1595,213
5046,1598,214
7691,1603,215
2402,1604,216
1709,1605,217
3559,1605,218
445,1608,219
6776,1611,220
4799,1617,221
1948,1618,222
3249,1618,223
3021,1620,224
1538,1622,225
3615,1622,226
761,1624,227
2762,1625,228
5343,1625,229
5371,1625,230
5738,1626,231
2015,1628,232
7750,1628,233
3221,1630,234
2809,1635,235
3376,1637,236
972,1639,237
3514,1643,238
4542,1643,239
7566,1643,240
968,1646,241
4066,1647,242
191,1648,243
3648,1649,244
4830,1650,245
4592,1651,246
3778,1653,247
6454,1653,248
1277,1655,249
4625,1655,250
2727,1657,251
7289,1658,252
1194,1660,253
2476,1660,254
7076,1660,255
7964,1660,256
3886,1662,257
6864,1663,258
558,1665,259
6654,1665,260
4545,1667,261
593,1668,262
3831,1669,263
767,1670,264
4036,1670,265
4270,1670,266
4404,1670,267
6450,1671,268
7760,1671,269
1525,1673,270
1607,1676,271
1603,1677,272
2943,1677,273
4342,1678,274
7456,1678,275
4596,1683,276
5988,1683,277
4699,1685,278
2269,1687,279
2502,1688,280
3759,1689,281
4097,1690,282
3333,1691,283
7967,1691,284
3396,1692,285
7046,1692,286
1703,1695,287
4883,1695,288
5040,1696,289
2559,1697,290
5538,1697,291
7663,1699,292
7751,1699,293
5731,1701,294
3800,1702,295
3038,1703,296
6047,1703,297
7068,1703,298
4831,1704,299
7758,1704,300
287,1705,301
2171,1705,302
2851,1705,303
7847,1705,304
3458,1706,305
6117,1708,306
6809,1708,307
3175,1709,308
3467,1711,309
5673,1711,310
789,1712,311
3415,1712,312
309,1713,313
506,1713,314
882,1716,315
7084,1717,316
5401,1718,317
6338,1718,318
270,1719,319
1183,1719,320
5597,1719,321
893,1720,322
5228,1720,323
5743,1720,324
3019,1723,325
7109,1724,326
914,1725,327
1211,1725,328
1871,1728,329
5700,1729,330
5947,1730,331
7338,1730,332
752,1731,333
4824,1731,334
7263,1731,335
1424,1732,336
1911,1733,337
4574,1734,338
6461,1735,339
6471,1736,340
2718,1737,341
996,1739,342
5167,1739,343
5569,1739,344
1391,1740,345
1976,1740,346
2033,1740,347
3061,1740,348
5157,1740,349
934,1743,350
5022,1743,351
7036,1743,352
5120,1748,353
805,1751,354
33,1752,355
6484,1752,356
7119,1754,357
1944,1755,358
4067,1755,359
5274,1756,360
5221,1757,361
6138,1758,362
3437,1762,363
6190,1762,364
32,1763,365
1896,1763,366
3684,1763,367
4939,1764,368
1636,1765,369
3313,1765,370
5702,1765,371
5775,1766,372
7259,1769,373
4897,1773,374
5214,1773,375
2740,1775,376
7258,1779,377
2066,1781,378
954,1784,379
56,1787,380
1696,1787,381
3363,1787,382
7454,1789,383
6535,1791,384
7179,1792,385
243,1793,386
194,1794,387
6381,1794,388
6968,1795,389
4040,1796,390
2629,1797,391
6254,1798,392
2114,1799,393
4164,1799,394
4613,1801,395
5170,1801,396
1504,1802,397
2185,1802,398
7730,1802,399
253,1804,400
1288,1806,401
4273,1806,402
5699,1806,403
5806,1806,404
7330,1806,405
6794,1808,406
4038,1809,407
3384,1810,408
4969,1813,409
7213,1815,410
6901,1818,411
2450,1819,412
1752,1820,413
3712,1821,414
6689,1821,415
7037,1823,416
1298,1825,417
3802,1829,418
847,1831,419
3107,1831,420
7468,1831,421
188,1841,422
3895,1842,423
906,1843,424
1246,1843,425
1106,1844,426
6193,1844,427
7314,1844,428
2753,1846,429
640,1847,430
1362,1848,431
373,1850,432
5099,1850,433
6733,1850,434
292,1851,435
3116,1851,436
6446,1851,437
5103,1853,438
7728,1854,439
7889,1854,440
3764,1855,441
6517,1855,442
857,1857,443
1661,1857,444
4712,1860,445
5025,1861,446
3014,1863,447
3042,1863,448
6638,1866,449
6867,1866,450
614,1869,451
5693,1871,452
3098,1874,453
7363,1874,454
1342,1879,455
4268,1880,456
3134,1882,457
2885,1885,458
147,1887,459
1830,1891,460
7228,1891,461
80,1892,462
4176,1893,463
1959,1895,464
3149,1896,465
6884,1896,466
1468,1897,467
1082,1898,468
6699,1898,469
941,1899,470
5690,1899,471
5766,1899,472
4226,1900,473
891,1903,474
6866,1903,475
2361,1908,476
7360,1909,477
2099,1910,478
3450,1910,479
4535,1910,480
1367,1911,481
1610,1911,482
4585,1913,483
3758,1918,484
5769,1919,485
3555,1921,486
4436,1922,487
6478,1929,488
6711,1929,489
7291,1929,490
7946,1929,491
2335,1931,492
4092,1933,493
692,1935,494
7858,1935,495
6354,1936,496
2333,1937,497
7861,1938,498
2573,1939,499
6174,1939,500
1926,1940,501
7439,1940,502
5435,1941,503
7949,1942,504
3852,1943,505
313,1946,506
2077,1946,507
3517,1946,508
910,1949,509
591,1950,510
3854,1950,511
5620,1951,512
512,1953,513
590,1954,514
6486,1954,515
538,1955,516
105,1957,517
1198,1959,518
2929,1959,519
7281,1959,520
46,1961,521
6537,1962,522
7145,1962,523
1482,1963,524
1328,1964,525
474,1965,526
4869,1965,527
730,1966,528
4567,1966,529
6000,1966,530
260,1967,531
2093,1968,532
7476,1968,533
2539,1970,534
4353,1974,535
115,1976,536
7340,1976,537
1530,1977,538
2112,1978,539
3036,1978,540
6263,1979,541
6399,1979,542
7697,1979,543
2592,1980,544
3927,1981,545
6380,1981,546
6084,1982,547
2460,1984,548
4776,1984,549
6376,1984,550
3215,1988,551
179,1989,552
3468,1989,553
3993,1989,554
2510,1990,555
648,1991,556
5889,1991,557
6202,1991,558
7373,1991,559
965,1992,560
5499,1993,561
5737,1993,562
4917,1995,563
125,1996,564
5323,1996,565
1474,1998,566
655,1999,567
1490,1999,568
1402,2000,569
4037,2000,570
3754,2001,571
7595,2001,572
1202,2002,573
129,2003,574
1583,2003,575
52,2004,576
2283,2004,577
2527,2004,578
3392,2004,579
4974,2005,580
3274,2006,581
3762,2007,582
2119,2008,583
4223,2008,584
5087,2008,585
1299,2009,586
5276,2010,587
7953,2010,588
6215,2011,589
2522,2012,590
7603,2012,591
1617,2014,592
6114,2014,593
6314,2014,594
4057,2016,595
812,2018,596
4377,2018,597
2155,2022,598
6250,2022,599
5449,2025,600
1784,2028,601
2732,2028,602
6893,2028,603
3590,2029,604
4335,2029,605
2496,2030,606
4171,2030,607
4492,2030,608
1615,2031,609
4774,2031,610
656,2032,611
1281,2032,612
3109,2032,613
329,2033,614
2570,2034,615
4879,2034,616
952,2035,617
459,2036,618
7132,2036,619
6858,2037,620
350,2040,621
612,2040,622
6033,2043,623
6849,2043,624
5413,2044,625
1229,2045,626
4946,2045,627
2571,2046,628
1695,2047,629
7425,2047,630
1473,2049,631
4213,2050,632
4447,2050,633
4659,2050,634
6812,2050,635
1499,2051,636
5211,2051,637
5485,2051,638
2706,2052,639
3044,2052,640
1374,2053,641
2710,2053,642
4995,2054,643
5813,2054,644
6006,2055,645
708,2057,646
3623,2057,647
6619,2057,648
541,2061,649
2960,2061,650
1113,2062,651
1256,2063,652
1348,2063,653
4385,2063,654
884,2064,655
1556,2064,656
4437,2064,657
5635,2064,658
4135,2065,659
1962,2066,660
5580,2066,661
5787,2067,662
1148,2068,663
6813,2068,664
4605,2070,665
2053,2072,666
6727,2072,667
3269,2073,668
6656,2073,669
6887,2073,670
7177,2073,671
7662,2073,672
1433,2074,673
3935,2074,674
5079,2074,675
3070,2076,676
5044,2076,677
5116,2077,678
6920,2077,679
4465,2078,680
6730,2078,681
6932,2078,682
1536,2079,683
2371,2080,684
2689,2080,685
91,2081,686
5977,2081,687
694,2086,688
1313,2086,689
4460,2088,690
5020,2088,691
7276,2088,692
2579,2089,693
4808,2089,694
6424,2089,695
1248,2090,696
2376,2090,697
7423,2090,698
5974,2091,699
320,2092,700
2971,2092,701
4420,2092,702
381,2093,703
3924,2093,704
4551,2094,705
5724,2094,706
2972,2095,707
3899,2095,708
5217,2095,709
6150,2095,710
204,2096,711
3733,2096,712
1961,2097,713
874,2098,714
4945,2098,715
7735,2098,716
5446,2100,717
2439,2101,718
4198,2101,719
6664,2102,720
3637,2103,721
1633,2104,722
5287,2104,723
3522,2105,724
5494,2105,725
6596,2106,726
2226,2107,727
4671,2107,728
5150,2108,729
3000,2109,730
6506,2109,731
120,2110,732
1144,2110,733
3057,2110,734
6946,2110,735
5250,2111,736
59,2112,737
5235,2113,738
3144,2115,739
3792,2116,740
5281,2116,741
1477,2117,742
3479,2117,743
845,2118,744
1634,2118,745
1444,2119,746
2118,2119,747
3937,2119,748
5458,2119,749
1685,2120,750
5773,2120,751
6922,2120,752
1308,2121,753
4853,2121,754
6891,2122,755
1915,2123,756
2137,2123,757
4244,2123,758
7193,2123,759
505,2124,760
319,2126,761
647,2126,762
5849,2126,763
6153,2126,764
4848,2127,765
6876,2128,766
7592,2129,767
1072,2130,768
4441,2130,769
6252,2130,770
6579,2131,771
7620,2131,772
426,2133,773
2257,2133,774
5704,2133,775
7732,2133,776
1716,2136,777
7506,2136,778
7512,2136,779
4118,2137,780
4663,2137,781
6452,2137,782
157,2139,783
5675,2140,784
7325,2140,785
457,2141,786
981,2141,787
1771,2141,788
6284,2142,789
7868,2142,790
3957,2143,791
6462,2145,792
1806,2146,793
6205,2146,794
6810,2147,795
404,2148,796
600,2149,797
7909,2151,798
4846,2152,799
4894,2153,800
7106,2154,801
466,2155,802
5596,2156,803
190,2157,804
5253,2157,805
1719,2158,806
3217,2158,807
1192,2159,808
5752,2159,809
2448,2160,810
5189,2160,811
7856,2160,812
6062,2161,813
6862,2161,814
1767,2162,815
3280,2162,816
439,2164,817
2922,2164,818
4554,2164,819
6408,2165,820
7859,2165,821
1778,2166,822
4730,2166,823
5110,2166,824
7057,2167,825
2906,2168,826
2874,2169,827
3970,2169,828
4325,2169,829
1283,2171,830
4646,2172,831
4196,2173,832
2687,2174,833
718,2175,834
6514,2175,835
221,2177,836
5059,2177,837
4081,2178,838
4915,2178,839
7170,2178,840
709,2179,841
6838,2179,842
7523,2179,843
2162,2180,844
2841,2180,845
1405,2181,846
3667,2181,847
4301,2181,848
6586,2181,849
2822,2182,850
4833,2182,851
7670,2182,852
240,2183,853
2302,2183,854
3309,2183,855
5243,2184,856
3278,2185,857
7200,2185,858
7999,2185,859
1842,2186,860
5068,2186,861
2428,2187,862
1264,2189,863
3423,2189,864
6086,2190,865
7641,2190,866
546,2191,867
3554,2193,868
4331,2193,869
6120,2196,870
6690,2197,871
7607,2197,872
3308,2198,873
4814,2198,874
2552,2199,875
3068,2202,876
4729,2202,877
6977,2202,878
2463,2203,879
4459,2203,880
5041,2203,881
7924,2203,882
3411,2208,883
3768,2209,884
3889,2209,885
516,2210,886
4428,2211,887
5439,2212,888
228,2213,889
6759,2213,890
734,2214,891
5199,2215,892
1894,2216,893
2382,2216,894
2079,2217,895
3351,2217,896
7777,2217,897
4046,2218,898
6852,2218,899
166,2219,900
3630,2220,901
5812,2221,902
1336,2223,903
959,2224,904
1301,2224,905
3944,2225,906
2016,2226,907
7327,2226,908
222,2227,909
1489,2231,910
5117,2232,911
4876,2233,912
2673,2236,913
2684,2237,914
6439,2238,915
1017,2239,916
6023,2240,917
3713,2241,918
6885,2242,919
2534,2244,920
7896,2248,921
4467,2250,922
3917,2255,923
2464,2257,924
4488,2258,925
5528,2259,926
2289,2260,927
2580,2262,928
4994,2262,929
5606,2262,930
3332,2264,931
6257,2267,932
7736,2270,933
4178,2271,934
2801,2272,935
1061,2273,936
4788,2273,937
7833,2276,938
5447,2277,939
7723,2280,940
7311,2281,941
2089,2284,942
7478,2284,943
783,2285,944
7240,2287,945
2879,2288,946
2445,2289,947
5476,2289,948
6890,2289,949
4909,2291,950
4641,2292,951
6373,2294,952
6686,2294,953
933,2295,954
3317,2295,955
4004,2297,956
2400,2298,957
2338,2299,958
3337,2299,959
6518,2299,960
7776,2299,961
107,2301,962
7672,2305,963
2772,2306,964
5209,2306,965
6574,2306,966
5801,2310,967
4626,2311,968
5577,2313,969
5746,2314,970
3848,2315,971
5450,2316,972
5172,2317,973
6448,2317,974
4740,2318,975
330,2319,976
7072,2322,977
2058,2324,978
4836,2324,979
501,2327,980
5734,2330,981
7502,2331,982
3882,2332,983
3200,2334,984
4062,2334,985
6459,2334,986
1361,2335,987
2014,2335,988
4173,2337,989
3017,2338,990
1586,2339,991
4127,2340,992
4440,2340,993
3028,2341,994
4679,2341,995
1232,2343,996
6291,2343,997
6547,2344,998
2054,2345,999
4893,2346,1000
6397,2346,1001
2097,2347,1002
3377,2347,1003
4143,2350,1004
101,2352,1005
3155,2352,1006
2122,2353,1007
3746,2353,1008
7809,2355,1009
1761,2356,1010
4324,2356,1011
5411,2356,1012
5822,2356,1013
2386,2357,1014
2730,2360,1015
5285,2360,1016
1882,2361,1017
5097,2361,1018
6032,2361,1019
602,2362,1020
4374,2362,1021
7144,2362,1022
5165,2363,1023
3887,2364,1024
2581,2366,1025
7349,2366,1026
4124,2367,1027
4885,2367,1028
5912,2367,1029
5158,2368,1030
6969,2369,1031
7623,2369,1032
5467,2370,1033
1687,2371,1034
1598,2372,1035
3805,2372,1036
7118,2372,1037
3557,2373,1038
3922,2373,1039
4514,2374,1040
5356,2374,1041
7622,2374,1042
6773,2375,1043
4333,2376,1044
4141,2377,1045
1748,2378,1046
2993,2378,1047
4304,2378,1048
49,2379,1049
1382,2379,1050
1604,2379,1051
2560,2379,1052
576,2380,1053
5503,2380,1054
106,2381,1055
1089,2381,1056
2308,2381,1057
6021,2382,1058
5865,2383,1059
6469,2383,1060
6277,2384,1061
2882,2385,1062
6173,2385,1063
3410,2386,1064
4992,2386,1065
5660,2387,1066
4716,2388,1067
7907,2389,1068
414,2390,1069
6635,2390,1070
6225,2391,1071
4177,2392,1072
4582,2392,1073
5457,2392,1074
1223,2393,1075
1439,2393,1076
1542,2393,1077
6464,2393,1078
6481,2394,1079
642,2395,1080
5624,2395,1081
6750,2395,1082
1627,2396,1083
6774,2396,1084
1798,2397,1085
4054,2397,1086
6266,2397,1087
6402,2397,1088
6633,2397,1089
1839,2399,1090
3451,2399,1091
7836,2399,1092
4991,2400,1093
2541,2401,1094
5140,2401,1095
7201,2401,1096
1949,2402,1097
4472,2402,1098
7516,2402,1099
3074,2406,1100
3580,2406,1101
7686,2408,1102
2728,2409,1103
4082,2410,1104
6396,2410,1105
1329,2411,1106
2205,2411,1107
7558,2411,1108
966,2412,1109
4462,2412,1110
6835,2412,1111
5210,2413,1112
6626,2413,1113
6203,2414,1114
1375,2415,1115
5770,2415,1116
6564,2416,1117
6651,2416,1118
3873,2417,1119
3998,2417,1120
4902,2417,1121
6207,2417,1122
4337,2418,1123
4572,2418,1124
2088,2419,1125
2156,2419,1126
6905,2419,1127
7347,2419,1128
2212,2420,1129
1182,2421,1130
3578,2421,1131
6965,2421,1132
631,2422,1133
2295,2422,1134
3287,2422,1135
4241,2423,1136
7707,2423,1137
6463,2424,1138
3120,2425,1139
5782,2425,1140
4012,2426,1141
5583,2426,1142
6187,2426,1143
297,2428,1144
2337,2428,1145
3607,2428,1146
4238,2428,1147
6044,2428,1148
7671,2429,1149
6712,2430,1150
7629,2430,1151
7771,2430,1152
1740,2431,1153
2449,2431,1154
3209,2431,1155
556,2432,1156
3958,2432,1157
5186,2432,1158
7091,2432,1159
2366,2433,1160
5789,2433,1161
5908,2433,1162
6124,2433,1163
1487,2434,1164
6141,2434,1165
1741,2435,1166
3918,2435,1167
4018,2435,1168
7319,2435,1169
3638,2436,1170
5399,2436,1171
172,2437,1172
6232,2437,1173
7310,2437,1174
2804,2438,1175
3726,2438,1176
5430,2438,1177
7043,2438,1178
1502,2439,1179
1718,2439,1180
2020,2441,1181
7766,2441,1182
3206,2442,1183
1341,2443,1184
1648,2443,1185
6220,2443,1186
1796,2444,1187
6176,2444,1188
1908,2445,1189
2928,2446,1190
391,2447,1191
2446,2447,1192
6350,2447,1193
2090,2448,1194
2482,2448,1195
2685,2449,1196
3240,2449,1197
4667,2449,1198
4780,2449,1199
6110,2449,1200
840,2450,1201
872,2450,1202
1048,2450,1203
1900,2450,1204
2968,2450,1205
6322,2450,1206
6998,2450,1207
1698,2451,1208
5069,2451,1209
4217,2452,1210
5028,2452,1211
5508,2452,1212
7000,2452,1213
5837,2453,1214
5425,2454,1215
7235,2456,1216
3106,2457,1217
1919,2460,1218
4622,2460,1219
4757,2461,1220
1753,2462,1221
2628,2462,1222
2867,2462,1223
4317,2462,1224
5161,2462,1225
851,2463,1226
2877,2463,1227
7903,2463,1228
2320,2465,1229
2677,2465,1230
3892,2465,1231
7690,2465,1232
791,2466,1233
2875,2466,1234
3260,2466,1235
987,2467,1236
6289,2467,1237
6908,2467,1238
3454,2468,1239
3685,2468,1240
1381,2469,1241
1410,2469,1242
5523,2469,1243
6216,2469,1244
6455,2469,1245
4418,2471,1246
6903,2472,1247
7574,2472,1248
4389,2473,1249
5238,2473,1250
7625,2473,1251
3429,2474,1252
7941,2475,1253
462,2476,1254
713,2476,1255
2661,2476,1256
6803,2476,1257
2676,2477,1258
4593,2477,1259
2764,2478,1260
7154,2478,1261
900,2479,1262
2115,2480,1263
4520,2480,1264
5061,2480,1265
5897,2480,1266
7548,2480,1267
1863,2481,1268
5880,2481,1269
7296,2481,1270
7910,2481,1271
1407,2482,1272
1464,2482,1273
1479,2482,1274
6990,2482,1275
53,2483,1276
956,2483,1277
4370,2483,1278
6583,2483,1279
4041,2484,1280
4607,2484,1281
6767,2486,1282
2820,2487,1283
511,2489,1284
4295,2490,1285
7268,2490,1286
7601,2491,1287
7775,2491,1288
428,2493,1289
2554,2493,1290
5992,2493,1291
6014,2493,1292
6827,2493,1293
7962,2493,1294
242,2494,1295
2326,2494,1296
4941,2494,1297
5338,2494,1298
5833,2494,1299
6186,2494,1300
6873,2494,1301
79,2495,1302
4403,2495,1303
2530,2496,1304
3646,2496,1305
3321,2497,1306
2926,2498,1307
4787,2498,1308
950,2499,1309
1809,2499,1310
3626,2499,1311
2962,2500,1312
978,2501,1313
4793,2501,1314
2408,2503,1315
3699,2503,1316
5573,2503,1317
1541,2504,1318
3643,2504,1319
5767,2504,1320
6560,2504,1321
3086,2505,1322
3184,2505,1323
4689,2505,1324
6244,2505,1325
4138,2506,1326
7998,2506,1327
1589,2508,1328
2973,2508,1329
5487,2508,1330
2025,2509,1331
78,2510,1332
401,2511,1333
6697,2511,1334
3695,2512,1335
6986,2513,1336
7959,2513,1337
468,2514,1338
804,2514,1339
6807,2514,1340
824,2515,1341
1431,2515,1342
3117,2515,1343
4231,2515,1344
5609,2515,1345
6168,2515,1346
7731,2515,1347
2691,2516,1348
7919,2516,1349
2141,2517,1350
94,2518,1351
675,2518,1352
611,2519,1353
5123,2519,1354
6131,2519,1355
975,2520,1356
6325,2520,1357
424,2522,1358
411,2523,1359
2479,2523,1360
4261,2523,1361
4892,2523,1362
7734,2523,1363
7952,2523,1364
2330,2525,1365
6781,2525,1366
6470,2526,1367
7490,2526,1368
6066,2527,1369
7947,2527,1370
6569,2529,1371
2950,2530,1372
4882,2532,1373
2858,2533,1374
6181,2534,1375
8000,2534,1376
549,2535,1377
1644,2536,1378
1903,2536,1379
5064,2536,1380
5872,2536,1381
6948,2536,1382
4321,2538,1383
7207,2538,1384
7517,2538,1385
7696,2538,1386
5252,2539,1387
5474,2540,1388
7875,2540,1389
7657,2541,1390
1675,2542,1391
2994,2542,1392
3521,2542,1393
5035,2542,1394
7806,2542,1395
1734,2543,1396
7203,2543,1397
3225,2544,1398
5817,2544,1399
925,2545,1400
2736,2546,1401
1491,2547,1402
2270,2547,1403
4870,2548,1404
610,2549,1405
1560,2549,1406
1273,2550,1407
6732,2550,1408
6196,2551,1409
5571,2552,1410
3688,2553,1411
5493,2553,1412
6763,2553,1413
3542,2554,1414
7520,2554,1415
5928,2556,1416
173,2558,1417
4999,2559,1418
5944,2560,1419
6806,2560,1420
617,2561,1421
736,2561,1422
2418,2561,1423
4156,2562,1424
1485,2563,1425
3666,2563,1426
2380,2565,1427
5999,2565,1428
6565,2566,1429
6792,2566,1430
6934,2566,1431
1681,2567,1432
2679,2567,1433
3520,2569,1434
1141,2571,1435
2138,2571,1436
2652,2571,1437
4114,2571,1438
4538,2571,1439
4905,2573,1440
6820,2573,1441
7008,2573,1442
1282,2576,1443
6808,2576,1444
1085,2577,1445
2374,2577,1446
2694,2577,1447
2421,2578,1448
2796,2581,1449
5460,2582,1450
6649,2582,1451
765,2583,1452
2700,2583,1453
1178,2584,1454
6523,2586,1455
2384,2587,1456
7786,2587,1457
4820,2589,1458
3229,2590,1459
5313,2592,1460
5452,2592,1461
7812,2592,1462
6177,2594,1463
1902,2595,1464
300,2596,1465
7804,2596,1466
7187,2599,1467
5670,2602,1468
7930,2603,1469
4149,2606,1470
4561,2606,1471
7550,2606,1472
6637,2607,1473
238,2609,1474
750,2611,1475
3955,2611,1476
3084,2612,1477
6049,2612,1478
6126,2612,1479
4864,2616,1480
5139,2616,1481
4482,2617,1482
7364,2617,1483
3841,2618,1484
2195,2619,1485
3009,2619,1486
2353,2620,1487
3753,2621,1488
6342,2621,1489
866,2622,1490
1832,2622,1491
3639,2622,1492
4137,2622,1493
7737,2622,1494
3911,2625,1495
5374,2625,1496
3947,2626,1497
4255,2627,1498
4832,2629,1499
3210,2632,1500
6075,2632,1501
3628,2633,1502
7717,2633,1503
7450,2634,1504
1275,2635,1505
4666,2635,1506
4993,2635,1507
99,2636,1508
7197,2638,1509
266,2639,1510
6912,2639,1511
7940,2639,1512
3898,2640,1513
606,2642,1514
896,2644,1515
6303,2644,1516
5665,2645,1517
92,2646,1518
1625,2646,1519
3250,2646,1520
1127,2647,1521
3569,2649,1522
5101,2650,1523
1590,2653,1524
2884,2653,1525
3718,2655,1526
1403,2656,1527
2791,2656,1528
5926,2656,1529
7169,2656,1530
7225,2656,1531
7379,2656,1532
1968,2657,1533
4863,2658,1534
4184,2659,1535
4733,2659,1536
5740,2660,1537
6978,2660,1538
1252,2662,1539
1219,2665,1540
4044,2667,1541
5154,2667,1542
5462,2667,1543
2473,2668,1544
7931,2668,1545
1889,2669,1546
4086,2672,1547
5522,2673,1548
6744,2674,1549
2951,2675,1550
3343,2677,1551
6183,2678,1552
2145,2679,1553
5153,2679,1554
6729,2679,1555
6247,2680,1556
6949,2680,1557
829,2683,1558
3928,2683,1559
5828,2683,1560
5096,2684,1561
5397,2685,1562
6677,2688,1563
7882,2688,1564
357,2690,1565
5664,2690,1566
7387,2691,1567
2797,2692,1568
7877,2692,1569
3115,2693,1570
5122,2693,1571
6163,2694,1572
3597,2695,1573
1851,2697,1574
198,2698,1575
3053,2699,1576
543,2700,1577
584,2700,1578
7304,2701,1579
327,2702,1580
1628,2702,1581
1447,2703,1582
4093,2703,1583
4098,2703,1584
4822,2703,1585
6720,2704,1586
7140,2705,1587
5427,2706,1588
6182,2706,1589
1964,2707,1590
2277,2707,1591
4154,2707,1592
3563,2708,1593
4439,2708,1594
6490,2709,1595
557,2711,1596
4682,2711,1597
1476,2712,1598
1032,2713,1599
479,2715,1600
2860,2715,1601
146,2716,1602
7706,2716,1603
1006,2717,1604
1973,2717,1605
3165,2717,1606
4669,2718,1607
7652,2718,1608
776,2719,1609
2266,2719,1610
1601,2720,1611
5514,2720,1612
6895,2721,1613
5666,2722,1614
6121,2722,1615
6676,2722,1616
2284,2723,1617
3524,2723,1618
1157,2724,1619
6236,2725,1620
311,2727,1621
1754,2727,1622
1825,2727,1623
6661,2727,1624
2011,2729,1625
7918,2729,1626
2686,2730,1627
768,2731,1628
3767,2731,1629
6834,2731,1630
7394,2731,1631
388,2732,1632
650,2732,1633
3046,2732,1634
6784,2732,1635
7695,2732,1636
4397,2733,1637
4584,2733,1638
7755,2733,1639
3348,2735,1640
7583,2735,1641
5851,2736,1642
132,2737,1643
742,2737,1644
1672,2737,1645
2784,2737,1646
3238,2737,1647
110,2740,1648
2692,2740,1649
5255,2740,1650
1895,2741,1651
2334,2741,1652
2724,2742,1653
6707,2742,1654
1547,2743,1655
5547,2743,1656
1289,2744,1657
1436,2744,1658
2311,2745,1659
4718,2745,1660
5853,2745,1661
3980,2746,1662
5771,2746,1663
2292,2747,1664
4170,2750,1665
7121,2750,1666
1723,2751,1667
5637,2751,1668
1,2752,1669
3466,2752,1670
582,2753,1671
5525,2753,1672
229,2754,1673
838,2754,1674
4332,2754,1675
6011,2754,1676
594,2755,1677
1782,2755,1678
3526,2755,1679
5589,2755,1680
6304,2755,1681
7101,2755,1682
7668,2756,1683
946,2757,1684
235,2758,1685
1649,2758,1686
5858,2758,1687
6768,2758,1688
4913,2759,1689
6285,2759,1690
